lng,lat
-73.9362862,40.8404185
-78.6247184,43.0754594
-76.1074056,43.0843418
-73.9068008,40.6426587
-78.7492,42.9685
-77.6065986,43.1554151
-77.4509748,43.2022123
-73.9925,40.7547
-73.893227,41.297512
-73.9579229,40.6829565
-73.5319069,40.8732603
-78.6847,42.52
-73.929182,40.7517517
-73.81537,40.669548
-77.661231,43.1494648
-74.9247516,42.6997676
-74.0129519,40.7080916
-74.2071273,41.5166478
-78.8249737,42.8716731
-73.9466177,40.749566
-73.9643544,41.7195544
-78.731204,42.965052
-73.9948478,40.7511186
-75.9361928,42.1067486
-74.0178813,41.9343746
-73.8793469,40.7304262
-77.6061354,43.1513798
-73.9961407,40.7134187
-73.9935385,40.6716132
-76.1650228,43.0538781
-73.873798,42.6967445
-78.7835956,42.8468853
-73.5329112,40.7821752
-73.823,40.6868
-74.0191464,40.6475923
-73.9483001,40.8340248
-73.6674033,40.7092288
-73.9456716,40.6776177
-73.8111,40.7029
-76.5626526,42.4043222
-73.9793366,40.7517813
-73.992602,40.742185
-78.846456,42.8312718
-73.9345,40.7446
-73.9832404,40.7694857
-76.5024226,42.4226216
-78.8818525,42.8959858
-78.7535198,42.9296791
-73.0499617,40.7469896
-78.8047973,42.865915
-78.8239001,42.9750225
-72.9535801,40.7726136
-76.8197965,42.1301935
-73.9828,40.6669
-73.9892949,40.7429649
-73.963052,40.683548
-73.7364293,40.6941771
-73.9862246,41.1090244
-75.4889403,42.2960983
-74.2950835,41.6687173
-78.8737893,42.8899056
-73.1037548,40.7753542
-73.5880799,40.7562068
-77.9068515,43.186475
-73.6828,40.7294
-73.9884508,40.7516513
-73.95027,40.63439
-73.9672644,41.093207
-73.9753357,40.6339033
-73.7862629,42.7162871
-73.9611496,40.6594561
-72.9779916,40.947528
-78.7688993,43.1150235
-74.0092371,41.1326346
-75.2314,43.1067
-73.9967,40.7484
-73.9902998,41.1469917
-73.9892,40.7313
-73.9892,40.7313
-76.0298554,43.014783
-73.9350445,40.7096774
-78.87601,42.8945053
-73.957,40.6467
-73.3408928,40.8673796
-77.6458175,43.0654485
-73.9866623,40.7572684
-73.9957952,40.6911979
-73.8556109,40.8116938
-74.0023702,41.9287812
-76.2413521,43.0911811
-75.9077232,42.1035675
-73.9496,40.6794
-73.0483287,40.7737351
-73.3582533,40.7000106
-74.9984,42.1787
-73.992602,40.742185
-73.6850565,40.6607885
-74.014234,41.9329237
-73.8188178,40.9132134
-77.660398,43.1599793
-73.3197283,40.6972815
-76.1474244,43.0481221
-76.0506286,43.0622063
-73.5257315,40.74423
-73.7618712,42.65424
-78.6453755,42.9998358
-76.1807416,43.052208
-73.7319158,42.7722987
-74.0115208,41.516644
-73.5207985,40.7428135
-73.8514,40.6838
-73.9877,40.7152
